Cochran CLM 83 ramets
 8  9  1 0 1  10 .1D-15      0 
  2   2   0   0   0   0   0   0  26
  0   0   1   0   0   0   0   0   9
  0   0   0   1   0   1   0   0   8
  0   0   0   1   0   1   0   0   8
  0   0   0   0  17  31  53   2   1
  0   0   0   0  45 573  96   0 304
  0   0   0   0  17  57 385  66  24
  0   0   0   0  27  10 174 311   8
 1  1
 1
 1  8 0.230943D4
 9
 5  6 0.127701D-1  
 5  7 0.874317D-1
 5  8 0.113636D0
 7  5 0.192308D-1
 7  7 0.546448D-2
 7  8 0.150943D-1
 8  5 0.288462D-1
 8  7 0.182149D-2
 8  8 0.830189D-1

